round,family,name,hold,sl,tp,tr_trades,tr_pf,tr_mean_bp,tr_t,tr_win,va_trades,va_pf,va_mean_bp,va_t,va_win,status
1051,B1_4HTrend_1HEntry,EMA_Ribbon_RSI_Pullback_H12,12,0.04,0.08,34824,0.77,-38.5,-2.96,42.0,9704,0.89,-13.9,-0.96,47.1,FAIL
1052,B1_4HTrend_1HEntry,EMA_Ribbon_RSI_Pullback_H12,12,0.06,0.12,31921,0.77,-41.1,-2.85,44.0,9160,0.89,-14.5,-0.91,48.6,FAIL
1053,B1_4HTrend_1HEntry,EMA_Ribbon_RSI_Pullback_H18,18,0.04,0.08,30920,0.82,-35.2,-2.23,41.0,8521,0.97,-5.3,-0.29,47.1,FAIL
1054,B1_4HTrend_1HEntry,EMA_Ribbon_RSI_Pullback_H18,18,0.06,0.12,27108,0.82,-36.9,-2.05,44.3,7746,0.97,-5.2,-0.25,49.6,FAIL
1055,B1_4HTrend_1HEntry,EMA_Ribbon_EMA_Pullback_H12,12,0.04,0.08,50047,0.83,-28.4,-2.78,42.3,15804,0.88,-16.6,-1.13,45.7,FAIL
1056,B1_4HTrend_1HEntry,EMA_Ribbon_EMA_Pullback_H12,12,0.06,0.12,47432,0.83,-30.3,-2.59,44.4,15351,0.9,-13.8,-0.86,47.1,FAIL
1057,B1_4HTrend_1HEntry,EMA_Ribbon_EMA_Pullback_H18,18,0.04,0.08,42302,0.86,-26.6,-2.15,40.9,12981,0.95,-7.3,-0.4,46.1,FAIL
1058,B1_4HTrend_1HEntry,EMA_Ribbon_EMA_Pullback_H18,18,0.06,0.12,38579,0.87,-28.1,-1.87,43.9,12291,0.97,-4.2,-0.2,48.2,FAIL
1059,B1_4HTrend_1HEntry,EMA_Ribbon_Keltner_Break_H12,12,0.04,0.08,31255,1.03,5.4,0.31,43.3,10699,0.88,-19.1,-0.58,39.3,FAIL
1060,B1_4HTrend_1HEntry,EMA_Ribbon_Keltner_Break_H12,12,0.06,0.12,27834,1.03,6.1,0.29,45.5,10012,0.87,-21.0,-0.62,40.0,FAIL
1061,B1_4HTrend_1HEntry,EMA_Ribbon_Keltner_Break_H18,18,0.04,0.08,28273,1.04,8.2,0.4,42.8,9255,0.92,-14.4,-0.39,39.8,FAIL
1062,B1_4HTrend_1HEntry,EMA_Ribbon_Keltner_Break_H18,18,0.06,0.12,23989,1.05,11.9,0.47,45.9,8448,0.9,-18.6,-0.5,40.8,FAIL
1063,B1_4HTrend_1HEntry,Supertrend_RSI_Pullback_H12,12,0.04,0.08,30154,0.75,-41.0,-3.29,41.6,8651,0.85,-20.4,-1.26,46.0,FAIL
1064,B1_4HTrend_1HEntry,Supertrend_RSI_Pullback_H12,12,0.06,0.12,27953,0.74,-46.7,-3.34,43.4,8204,0.82,-24.8,-1.37,47.1,FAIL
1065,B1_4HTrend_1HEntry,Supertrend_RSI_Pullback_H18,18,0.04,0.08,26898,0.81,-36.1,-2.4,41.0,7603,0.89,-18.0,-0.89,46.1,FAIL
1066,B1_4HTrend_1HEntry,Supertrend_RSI_Pullback_H18,18,0.06,0.12,24036,0.79,-43.2,-2.51,43.9,6995,0.86,-23.9,-1.0,48.1,FAIL
1067,B1_4HTrend_1HEntry,Supertrend_EMA_Pullback_H12,12,0.04,0.08,50181,0.83,-28.4,-2.99,42.3,15808,0.8,-28.4,-1.92,43.9,FAIL
1068,B1_4HTrend_1HEntry,Supertrend_EMA_Pullback_H12,12,0.06,0.12,47510,0.83,-30.4,-2.82,44.4,15349,0.82,-26.4,-1.59,45.1,FAIL
1069,B1_4HTrend_1HEntry,Supertrend_EMA_Pullback_H18,18,0.04,0.08,42468,0.85,-28.2,-2.43,40.8,12994,0.85,-24.0,-1.29,43.9,FAIL
1070,B1_4HTrend_1HEntry,Supertrend_EMA_Pullback_H18,18,0.06,0.12,38694,0.85,-32.4,-2.34,43.7,12285,0.86,-23.2,-1.08,45.8,FAIL
1071,B1_4HTrend_1HEntry,Supertrend_Keltner_Break_H12,12,0.04,0.08,35379,0.99,-1.0,-0.06,42.7,11800,0.86,-22.1,-0.73,39.3,FAIL
1072,B1_4HTrend_1HEntry,Supertrend_Keltner_Break_H12,12,0.06,0.12,31508,0.99,-1.1,-0.06,44.9,10986,0.87,-22.6,-0.73,40.1,FAIL
1073,B1_4HTrend_1HEntry,Supertrend_Keltner_Break_H18,18,0.04,0.08,31916,1.01,1.2,0.07,42.0,10179,0.87,-22.9,-0.69,38.8,FAIL
1074,B1_4HTrend_1HEntry,Supertrend_Keltner_Break_H18,18,0.06,0.12,27110,1.01,2.2,0.1,45.0,9188,0.86,-26.0,-0.75,39.9,FAIL
1075,B1_4HTrend_1HEntry,Donchian_RSI_Pullback_H12,12,0.04,0.08,17447,0.68,-54.5,-4.29,39.6,5317,0.85,-20.3,-0.92,46.8,FAIL
1076,B1_4HTrend_1HEntry,Donchian_RSI_Pullback_H12,12,0.06,0.12,16764,0.68,-57.6,-3.88,41.6,5168,0.84,-22.8,-0.95,48.0,FAIL
1077,B1_4HTrend_1HEntry,Donchian_RSI_Pullback_H18,18,0.04,0.08,16220,0.77,-43.9,-2.96,40.7,4905,0.78,-36.7,-1.56,42.9,FAIL
1078,B1_4HTrend_1HEntry,Donchian_RSI_Pullback_H18,18,0.06,0.12,15326,0.78,-44.7,-2.55,43.8,4668,0.76,-41.5,-1.6,45.6,FAIL
1079,B1_4HTrend_1HEntry,Donchian_EMA_Pullback_H12,12,0.04,0.08,51531,0.81,-32.1,-3.53,42.1,16189,0.79,-30.1,-2.11,43.1,FAIL
1080,B1_4HTrend_1HEntry,Donchian_EMA_Pullback_H12,12,0.06,0.12,48649,0.81,-34.4,-3.37,44.1,15650,0.82,-25.8,-1.61,44.4,FAIL
1081,B1_4HTrend_1HEntry,Donchian_EMA_Pullback_H18,18,0.04,0.08,43503,0.82,-35.2,-3.19,39.7,13300,0.83,-27.5,-1.51,43.6,FAIL
1082,B1_4HTrend_1HEntry,Donchian_EMA_Pullback_H18,18,0.06,0.12,39462,0.81,-40.1,-3.08,42.3,12530,0.85,-26.4,-1.24,45.7,FAIL
1083,B1_4HTrend_1HEntry,Donchian_Keltner_Break_H12,12,0.04,0.08,44105,1.0,0.2,0.01,43.2,13844,0.95,-7.3,-0.27,41.8,FAIL
1084,B1_4HTrend_1HEntry,Donchian_Keltner_Break_H12,12,0.06,0.12,39710,0.99,-2.1,-0.12,45.1,12900,0.96,-5.6,-0.21,42.7,FAIL
1085,B1_4HTrend_1HEntry,Donchian_Keltner_Break_H18,18,0.04,0.08,39582,1.01,2.0,0.11,42.8,12000,0.96,-6.8,-0.22,41.4,FAIL
1086,B1_4HTrend_1HEntry,Donchian_Keltner_Break_H18,18,0.06,0.12,33911,1.01,2.1,0.1,45.6,10780,0.94,-10.4,-0.33,42.6,FAIL
1087,B1_4HTrend_1HEntry,MACD_Hist_RSI_Pullback_H12,12,0.04,0.08,23134,0.75,-42.8,-2.85,40.8,6995,0.8,-30.0,-1.36,43.3,FAIL
1088,B1_4HTrend_1HEntry,MACD_Hist_RSI_Pullback_H12,12,0.06,0.12,21669,0.75,-45.0,-2.63,43.2,6774,0.75,-38.2,-1.55,43.9,FAIL
