round,family,name,hold,sl,tp,tr_trades,tr_pf,tr_mean_bp,tr_t,tr_win,va_trades,va_pf,va_mean_bp,va_t,va_win,status
1351,B1_BTC_LeadLag,Shock15_LaggingFlat_H8_SL5,8,0.05,0.1,687,0.66,-58.9,-0.94,38.6,374,0.77,-21.9,-1.27,24.3,FAIL
1352,B1_BTC_LeadLag,Shock15_LaggingFlat_H8_SL7,8,0.07,0.14,686,0.65,-62.1,-0.91,38.9,373,0.76,-24.6,-1.21,24.4,FAIL
1353,B1_BTC_LeadLag,Shock15_LaggingFlat_H12_SL5,12,0.05,0.1,682,0.76,-49.6,-0.61,42.2,360,0.89,-11.4,-0.56,29.7,FAIL
1354,B1_BTC_LeadLag,Shock15_LaggingFlat_H12_SL7,12,0.07,0.14,681,0.72,-62.9,-0.63,43.6,358,0.87,-14.6,-0.59,29.9,FAIL
1355,B1_BTC_LeadLag,Shock15_LaggingFlat_H18_SL5,18,0.05,0.1,652,0.85,-32.6,-0.38,40.8,346,0.75,-31.8,-1.26,25.4,FAIL
1356,B1_BTC_LeadLag,Shock15_LaggingFlat_H18_SL7,18,0.07,0.14,648,0.95,-10.9,-0.13,45.5,344,0.85,-18.9,-0.67,26.5,FAIL
1357,B1_BTC_LeadLag,Shock15_LaggingModerate_H8_SL5,8,0.05,0.1,1416,0.64,-63.5,-1.29,39.1,680,0.64,-42.3,-1.5,29.9,FAIL
1358,B1_BTC_LeadLag,Shock15_LaggingModerate_H8_SL7,8,0.07,0.14,1414,0.61,-72.5,-1.32,39.6,676,0.62,-46.3,-1.46,30.5,FAIL
1359,B1_BTC_LeadLag,Shock15_LaggingModerate_H12_SL5,12,0.05,0.1,1403,0.82,-36.5,-0.53,43.8,656,0.77,-29.8,-0.93,36.0,FAIL
1360,B1_BTC_LeadLag,Shock15_LaggingModerate_H12_SL7,12,0.07,0.14,1400,0.77,-52.1,-0.62,45.4,650,0.74,-34.5,-0.94,36.6,FAIL
1361,B1_BTC_LeadLag,Shock15_LaggingModerate_H18_SL5,18,0.05,0.1,1303,0.9,-22.9,-0.31,41.4,638,0.72,-43.4,-1.11,33.4,FAIL
1362,B1_BTC_LeadLag,Shock15_LaggingModerate_H18_SL7,18,0.07,0.14,1290,0.93,-18.1,-0.22,45.1,632,0.72,-44.0,-1.08,34.2,FAIL
1363,B1_BTC_LeadLag,Shock15_AllAlts_H8_SL5,8,0.05,0.1,12412,1.36,53.0,1.23,52.4,4885,0.96,-6.2,-0.1,37.7,FAIL
1364,B1_BTC_LeadLag,Shock15_AllAlts_H8_SL7,8,0.07,0.14,11930,1.3,46.4,1.07,52.8,4696,0.75,-40.8,-0.63,36.3,FAIL
1365,B1_BTC_LeadLag,Shock15_AllAlts_H12_SL5,12,0.05,0.1,11733,1.39,66.4,1.39,51.0,4573,0.93,-12.6,-0.17,38.6,FAIL
1366,B1_BTC_LeadLag,Shock15_AllAlts_H12_SL7,12,0.07,0.14,11135,1.4,70.9,1.4,52.9,4376,0.76,-47.7,-0.62,38.0,FAIL
1367,B1_BTC_LeadLag,Shock15_AllAlts_H18_SL5,18,0.05,0.1,11158,1.2,39.6,0.81,45.7,4283,1.03,6.0,0.07,39.9,FAIL
1368,B1_BTC_LeadLag,Shock15_AllAlts_H18_SL7,18,0.07,0.14,10314,1.08,16.6,0.34,46.1,4069,0.88,-24.4,-0.29,39.6,FAIL
1369,B1_BTC_LeadLag,Shock20_LaggingFlat_H8_SL5,8,0.05,0.1,272,1.15,21.1,0.3,52.6,147,0.89,-10.5,-0.27,25.2,FAIL
1370,B1_BTC_LeadLag,Shock20_LaggingFlat_H8_SL7,8,0.07,0.14,271,1.03,4.5,0.06,52.8,146,0.94,-6.9,-0.14,26.0,FAIL
1371,B1_BTC_LeadLag,Shock20_LaggingFlat_H12_SL5,12,0.05,0.1,271,0.87,-25.8,-0.29,47.2,141,1.02,2.0,0.05,28.4,FAIL
1372,B1_BTC_LeadLag,Shock20_LaggingFlat_H12_SL7,12,0.07,0.14,270,0.76,-52.3,-0.53,48.1,140,1.07,7.8,0.14,29.3,FAIL
1373,B1_BTC_LeadLag,Shock20_LaggingFlat_H18_SL5,18,0.05,0.1,264,0.96,-7.8,-0.07,44.3,141,0.97,-3.0,-0.07,26.2,FAIL
1374,B1_BTC_LeadLag,Shock20_LaggingFlat_H18_SL7,18,0.07,0.14,263,0.87,-34.1,-0.27,45.2,140,1.08,9.8,0.17,27.1,FAIL
1375,B1_BTC_LeadLag,Shock20_LaggingModerate_H8_SL5,8,0.05,0.1,517,0.94,-10.0,-0.17,48.0,236,0.55,-63.9,-0.94,25.8,FAIL
1376,B1_BTC_LeadLag,Shock20_LaggingModerate_H8_SL7,8,0.07,0.14,516,0.8,-38.7,-0.54,47.9,234,0.56,-70.9,-0.87,26.9,FAIL
1377,B1_BTC_LeadLag,Shock20_LaggingModerate_H12_SL5,12,0.05,0.1,516,0.76,-53.0,-0.65,44.0,221,0.72,-42.3,-0.55,33.9,FAIL
