theme,level,name,desc,tr_n,tr_win,tr_mean_bp,tr_pf,tr_t,tr_tot_bp,va_n,va_win,va_mean_bp,va_pf,va_t,va_tot_bp,ho_n,ho_win,ho_mean_bp,ho_pf,ho_t,ho_tot_bp
Breakout,1,Raw_Keltner_Breakout,1H Close > Keltner Upper / < Lower,38144,46.4,2.4,1.01,0.12,92131.0,12583,42.8,-15.6,0.92,-0.52,-196643.0,22126,38.4,-50.2,0.7,-4.04,-1110801.0
Breakout,2,Breakout_+_1HSqueeze,Raw Breakout + 1H Volatility Compression,11919,48.7,7.1,1.04,0.3,84409.0,4055,45.4,3.4,1.02,0.07,13711.0,7557,44.4,-29.6,0.8,-2.21,-224013.0
Breakout,2,Breakout_+_DualSqueeze,Raw Breakout + 4H & 1H Dual Squeeze,3033,53.3,73.7,1.41,1.66,223564.0,1219,51.0,73.1,1.53,0.84,89128.0,2717,43.4,-34.8,0.77,-1.95,-94510.0
Breakout,3,DualSq_+_Flow55,Dual Squeeze + Taker Buy > 55%,1502,57.1,111.7,1.72,1.67,167767.0,731,55.4,96.7,1.81,1.2,70678.0,1616,44.1,-33.9,0.76,-1.71,-54706.0
Breakout,3,DualSq_+_Flow65,Dual Squeeze + Taker Buy > 65%,96,64.6,209.3,3.17,1.92,20090.0,86,50.0,51.2,1.43,0.76,4407.0,237,44.3,-45.9,0.66,-1.95,-10872.0
Breakout,4,DualSq_+_Flow60_+_BTCGate,Dual Squeeze + Flow60 + BTC 1D&4H Direction,207,69.6,297.2,3.33,1.58,61511.0,142,59.9,122.7,1.98,1.03,17422.0,296,39.2,-34.0,0.76,-0.72,-10057.0
Breakout,4,DualSq_+_Flow60_+_Vol1.5x,Dual Squeeze + Flow60 + 1H Volume > 1.5x MA,309,57.3,128.4,1.87,1.45,39687.0,226,55.8,63.6,1.52,0.95,14372.0,545,47.0,-9.2,0.93,-0.39,-5010.0
Breakout,5,Ultra_Strict_Breakout_Stack,DualSq + Flow65 + BTCGate + Vol2.5x,10,60.0,200.6,2.27,0.92,2006.0,8,37.5,-89.3,0.52,-0.75,-715.0,31,32.3,-83.2,0.35,-1.64,-2578.0
Breakout,5,Strict_Stack_+_4HRSLead,DualSq + Flow60 + BTCGate + 4H RS > 2%,7,71.4,391.5,7.51,1.89,2741.0,5,80.0,560.0,9.14,1.6,2800.0,8,37.5,-286.4,0.29,-0.61,-2291.0
Reversal,1,Raw_Price_Drop_8%,12h Price Drop > 8% alone,10199,43.1,-26.9,0.9,-0.67,-274629.0,1984,47.0,-8.4,0.96,-0.08,-16751.0,1703,46.5,-37.2,0.83,-0.66,-63296.0
Reversal,2,Drop8%_+_OIFlush15%,Price Drop 8% + OI Plunge 15% (Forced Liquidations),3212,43.5,14.7,1.05,0.28,47160.0,485,48.2,25.4,1.11,0.38,12306.0,647,44.7,-21.1,0.91,-0.62,-13655.0
Reversal,3,Flushout_+_RSI30,Drop8% + OIFlush15% + 1H RSI < 30,1617,43.5,8.9,1.03,0.14,14410.0,300,46.7,19.8,1.08,0.18,5933.0,169,53.3,28.7,1.17,0.76,4845.0
Reversal,4,Flushout_RSI30_+_Flow55,Flushout + RSI30 + Green Bar + Taker > 55%,126,59.5,213.5,2.19,1.42,26906.0,44,68.2,158.2,2.99,1.85,6960.0,14,50.0,-86.7,0.56,-0.81,-1214.0
Reversal,5,Ultra_Strict_Flushout,Flushout + RSI25 + Green + Taker > 65%,0,0.0,0.0,0.0,0.0,0.0,2,100.0,112.5,999.0,0.0,225.0,0,0.0,0.0,0.0,0.0,0.0
Reversal,5,Flushout_+_NegFunding,Flushout Stack + Funding Rate < -0.03%,6,66.7,163.1,2.36,0.66,979.0,4,25.0,12.3,1.07,0.07,49.0,0,0.0,0.0,0.0,0.0,0.0
Hybrid,4,Hybrid_Squeeze_Flushout,Squeeze in Trend + Flushout in Panic,331,63.1,254.7,2.49,1.96,84291.0,186,59.1,125.2,2.05,1.39,23296.0,310,39.7,-36.4,0.75,-0.8,-11278.0
