round,family,name,hold_l,hold_s,sl_l,sl_s,tp_l,tp_s,tr_n,tr_pf,tr_mean_bp,tr_t,tr_win,tr_n_l,tr_pf_l,tr_n_s,tr_pf_s,va_n,va_pf,va_mean_bp,va_t,va_win,va_n_l,va_pf_l,va_n_s,va_pf_s,ho_n,ho_pf,ho_mean_bp,ho_t,ho_win,ho_n_l,ho_pf_l,ho_n_s,ho_pf_s,status
1651,B1_Asym_DualSqueeze,DisableLong_RelaxShort48_Hs24,12,24,0.06,0.07,0.1,0.14,1373,1.87,148.8,1.83,58.5,122,1.94,1251,1.87,732,1.65,101.3,0.89,55.7,11,0.03,721,1.72,1298,0.77,-36.1,-1.02,48.2,190,0.97,1108,0.75,FAIL
1652,B1_Asym_DualSqueeze,DisableLong_RelaxShort48_Hs24,12,24,0.06,0.07,0.1,0.18,1372,1.73,125.8,1.75,58.4,122,1.94,1250,1.72,732,1.7,110.1,0.88,55.3,11,0.03,721,1.77,1298,0.76,-38.2,-1.08,48.2,190,0.97,1108,0.74,FAIL
1653,B1_Asym_DualSqueeze,DisableLong_RelaxShort48_Hs24,12,24,0.06,0.08,0.1,0.2,1371,1.63,111.9,1.65,58.6,122,1.94,1249,1.62,731,1.68,105.5,0.87,55.8,11,0.03,720,1.74,1297,0.75,-40.6,-1.13,48.2,189,0.98,1108,0.72,FAIL
1654,B1_Asym_DualSqueeze,DisableLong_RelaxShort48_Hs36,12,36,0.06,0.07,0.1,0.14,1359,1.77,157.0,1.84,56.0,120,1.92,1239,1.76,724,1.52,94.0,0.79,52.5,11,0.03,713,1.57,1266,0.79,-38.0,-0.96,45.3,188,0.98,1078,0.77,FAIL
1655,B1_Asym_DualSqueeze,DisableLong_RelaxShort48_Hs36,12,36,0.06,0.07,0.1,0.18,1358,1.6,124.8,1.72,55.5,120,1.92,1238,1.59,724,1.58,107.6,0.83,51.9,11,0.03,713,1.64,1266,0.78,-39.3,-1.0,45.2,188,0.98,1078,0.77,FAIL
1656,B1_Asym_DualSqueeze,DisableLong_RelaxShort48_Hs36,12,36,0.06,0.08,0.1,0.2,1354,1.53,112.1,1.65,56.4,119,1.97,1235,1.51,722,1.57,103.6,0.86,52.4,11,0.03,711,1.63,1265,0.79,-38.8,-0.95,45.5,187,0.99,1078,0.77,FAIL
1657,B1_Asym_DualSqueeze,DisableLong_StrictShort40_Hs24,12,24,0.06,0.07,0.1,0.14,443,2.01,153.3,1.62,59.4,123,1.93,320,2.03,261,1.53,81.7,0.91,59.0,11,0.03,250,1.72,685,0.79,-30.1,-1.0,46.9,190,0.97,495,0.75,FAIL
1658,B1_Asym_DualSqueeze,DisableLong_StrictShort40_Hs24,12,24,0.06,0.07,0.1,0.18,442,1.79,119.2,1.5,59.3,123,1.93,319,1.76,261,1.5,76.8,0.87,59.0,11,0.03,250,1.68,685,0.8,-30.0,-1.0,46.9,190,0.97,495,0.75,FAIL
1659,B1_Asym_DualSqueeze,DisableLong_StrictShort40_Hs24,12,24,0.06,0.08,0.1,0.2,442,1.65,103.6,1.36,59.3,123,1.93,319,1.6,261,1.46,72.0,0.83,59.4,11,0.03,250,1.63,684,0.77,-33.7,-1.12,46.9,189,0.98,495,0.72,FAIL
1660,B1_Asym_DualSqueeze,DisableLong_StrictShort40_Hs36,12,36,0.06,0.07,0.1,0.14,442,2.1,183.1,1.89,60.6,123,1.93,319,2.13,260,1.34,62.9,0.66,52.7,11,0.03,249,1.48,680,0.83,-29.1,-0.88,45.4,190,0.97,490,0.79,FAIL
