tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
30m,F01_mom24|bars,0.989583,12,59,-63.945585949136955,0.6269118879774154,-1.243661776891703,0.162534435261708,2,-73.94558594913694,-64.53382964377529,False,False
30m,F01_mom24|bars,0.979167,12,98,-5.995733748043755,0.9549018427024244,-0.1592053316586585,0.2699724517906336,4,-15.995733748043753,-4.711669265115306,False,False
30m,F01_mom24|bars,0.958333,12,182,19.02526891594086,1.1464776672484278,0.7291464076983085,0.5013774104683195,3,9.025268915940854,17.257490171718175,False,False
30m,F01_mom24|bars,0.916667,12,355,-4.292974772324123,0.9666473939440412,-0.21990876061463477,0.977961432506887,3,-14.292974772324127,-7.460536985350616,False,False
30m,F01_mom24|clock,0.989583,24,47,-57.1752989849827,0.7432530097919007,-0.9951173837542102,0.12947658402203857,1,-67.17529898498272,-54.72349369314608,False,False
30m,F01_mom24|clock,0.979167,24,69,25.147155410750898,1.138884818669065,0.45976268706524503,0.19008264462809918,3,15.1471554107509,28.62013845511293,False,False
30m,F01_mom24|clock,0.958333,24,127,-4.487602601879698,0.977377825039717,-0.10489805757687122,0.349862258953168,2,-14.487602601879699,-7.464796269475938,False,False
30m,F01_mom24|clock,0.916667,24,246,-15.805114333022148,0.909828306637868,-0.5265146426576813,0.6776859504132231,3,-25.80511433302215,-20.93105566749828,False,False
30m,F02_rev24|bars,0.989583,12,59,23.945585949136927,1.1883585327626784,0.4586822787639287,0.162534435261708,4,13.945585949136927,24.53382964377529,False,False
30m,F02_rev24|bars,0.979167,12,98,-34.00426625195626,0.7693111895731128,-0.8917253823624905,0.2699724517906336,1,-44.00426625195626,-35.2883307348847,False,False
30m,F02_rev24|bars,0.958333,12,182,-59.02526891594087,0.6538005840784316,-2.2090408415998875,0.5013774104683195,0,-69.02526891594087,-57.25749017171819,False,False
30m,F02_rev24|bars,0.916667,12,355,-35.707025227675885,0.7526018893808678,-1.7989442165902356,0.977961432506887,1,-45.707025227675885,-32.53946301464939,False,False
30m,F02_rev24|clock,0.989583,24,47,17.17529898498268,1.092394646377459,0.296904217023347,0.12947658402203857,4,7.175298984982675,14.723493693146063,False,False
30m,F02_rev24|clock,0.979167,24,69,-65.14715541075091,0.7116539496349976,-1.1903895924410959,0.19008264462809918,2,-75.14715541075091,-68.62013845511294,False,False
30m,F02_rev24|clock,0.958333,24,127,-35.512397398120314,0.8333441954748136,-0.8312942903991164,0.349862258953168,3,-45.512397398120314,-32.535203730524074,False,False
30m,F02_rev24|clock,0.916667,24,246,-24.194885666977854,0.8642019268358664,-0.8043269072759416,0.6776859504132231,1,-34.194885666977854,-19.068944332501733,False,False
30m,F03_mom4|bars,0.989583,6,134,-4.981718689941855,0.9629588657419322,-0.1630995369259702,0.3691460055096419,2,-14.98171868994186,-4.805987986712937,False,False
30m,F03_mom4|bars,0.979167,6,252,-24.86707800468595,0.8025041462387625,-1.2608226154835065,0.6942148760330579,2,-34.86707800468595,-24.69878359596001,False,False
30m,F03_mom4|bars,0.958333,6,450,-3.419504231297737,0.9667503978001842,-0.24486660617617315,1.2396694214876034,2,-13.419504231297736,-4.228779361927034,False,False
30m,F03_mom4|bars,0.916667,6,831,-9.187739727683589,0.8989340621396369,-1.0061386240895422,2.2892561983471076,1,-19.18773972768358,-9.732710389494136,False,False
30m,F03_mom4|clock,0.989583,12,114,-41.35378122953288,0.7685468802991466,-0.905637966930804,0.3140495867768595,1,-51.35378122953289,-42.72579148800398,False,False
30m,F03_mom4|clock,0.979167,12,215,-47.146458337058206,0.7037203642971842,-1.6909172139939086,0.5922865013774105,1,-57.1464583370582,-46.89961704630568,False,False
30m,F03_mom4|clock,0.958333,12,357,-0.2840327431601332,0.9976274494251814,-0.01483810516706713,0.9834710743801653,3,-10.28403274316013,-2.337156301218911,False,False
30m,F03_mom4|clock,0.916667,12,608,7.155670839835693,1.068611350244674,0.5959359262594472,1.674931129476584,3,-2.844329160164306,5.664237120227879,False,False
30m,F04_rev1|bars,0.989583,4,216,-8.149872169809953,0.9207416772617725,-0.41079701020764886,0.5950413223140496,3,-18.149872169809953,-7.635874923394675,False,False
30m,F04_rev1|bars,0.979167,4,409,-18.493454793907834,0.7987854510061346,-1.4555473068563156,1.1267217630853994,1,-28.493454793907834,-18.107951228727263,False,False
30m,F04_rev1|bars,0.958333,4,742,-16.385779456862085,0.8055624160813541,-1.898743610597529,2.044077134986226,1,-26.385779456862082,-16.389217551188796,False,False
30m,F04_rev1|bars,0.916667,4,1281,-22.905611649030384,0.7119845520958538,-4.152368185057758,3.5289256198347108,0,-32.90561164903038,-22.886280324008556,False,False
30m,F04_rev1|clock,0.989583,8,192,-14.973462639347554,0.8841247305414472,-0.6154133726699793,0.5289256198347108,3,-24.973462639347556,-14.021069973508993,False,False
30m,F04_rev1|clock,0.979167,8,347,-28.549016605789635,0.7720125169690603,-1.5665935752381435,0.9559228650137741,1,-38.549016605789625,-27.591937757165955,False,False
30m,F04_rev1|clock,0.958333,8,589,-31.763786474775234,0.7287359702385149,-2.6463187230879885,1.6225895316804408,1,-41.763786474775245,-31.490866231673667,False,False
30m,F04_rev1|clock,0.916667,8,918,-20.2266942942443,0.8055888665786529,-2.414792762187837,2.5289256198347108,1,-30.2266942942443,-19.577061040278206,False,False
30m,F05_rsi_rev|bars,0.989583,12,107,-89.9287916640514,0.48126293863156333,-2.4469159071615145,0.29476584022038566,0,-99.92879166405137,-85.94206083770474,False,False
30m,F05_rsi_rev|bars,0.979167,12,178,-77.07780178743484,0.5308996820522577,-2.807714183625586,0.4903581267217631,1,-87.07780178743482,-72.6719616979474,False,False
30m,F05_rsi_rev|bars,0.958333,12,334,-31.7219437076979,0.7589111764829383,-1.6321527472200745,0.9201101928374655,1,-41.721943707697896,-27.937971436732166,False,False
30m,F05_rsi_rev|bars,0.916667,12,550,-33.18582172720403,0.7431235108713009,-2.1685394843399783,1.5151515151515151,1,-43.18582172720403,-30.08840112553428,False,False
30m,F05_rsi_rev|clock,0.989583,24,95,-124.0738641508682,0.4386895401459608,-2.8423449141843116,0.26170798898071623,0,-134.0738641508682,-115.96719026614717,False,False
30m,F05_rsi_rev|clock,0.979167,24,148,-88.72976859187341,0.5808189131795954,-2.418060928922437,0.40771349862258954,1,-98.7297685918734,-80.14256444045559,False,False
30m,F05_rsi_rev|clock,0.958333,24,261,-16.652999197696747,0.9038688456021355,-0.5727280807597621,0.71900826446281,2,-26.652999197696747,-9.966890290036034,False,False
30m,F05_rsi_rev|clock,0.916667,24,386,-43.47361438917982,0.7463900430604062,-2.106114088749924,1.0633608815426998,0,-53.47361438917982,-35.77977327478343,False,False
30m,F06_bb_rev|bars,0.989583,12,260,-21.633682034061287,0.8335061544199742,-0.9675985823674509,0.7162534435261708,2,-31.633682034061295,-20.513727968386046,False,False
30m,F06_bb_rev|bars,0.979167,12,396,-18.818347907585196,0.8410678430310542,-1.1434725804067973,1.0909090909090908,2,-28.818347907585192,-17.078268722748895,False,False
30m,F06_bb_rev|bars,0.958333,12,553,-33.3017768174302,0.7310933028168757,-2.5026817250259317,1.5234159779614325,1,-43.301776817430195,-31.47414002707782,False,False
30m,F06_bb_rev|bars,0.916667,12,760,-23.894394794881208,0.7891992752416319,-2.2682154008231783,2.09366391184573,0,-33.8943947948812,-22.832613925091785,False,False
30m,F06_bb_rev|clock,0.989583,24,231,-18.388834304253212,0.8941143715166552,-0.606951219738829,0.6363636363636364,2,-28.388834304253205,-17.585987394261206,False,False
30m,F06_bb_rev|clock,0.979167,24,324,-45.003361072965355,0.7523835249641223,-1.7790604198972237,0.8925619834710744,2,-55.003361072965355,-41.67299588202143,False,False
30m,F06_bb_rev|clock,0.958333,24,421,-58.6550375545968,0.6851747076379565,-2.7572815557056543,1.159779614325069,1,-68.65503755459679,-55.272834961618415,False,False
30m,F06_bb_rev|clock,0.916667,24,506,-35.60394366698996,0.7819652958811996,-2.0567862857744377,1.393939393939394,1,-45.60394366698995,-34.04411429765224,False,False
30m,F07_donchian|bars,0.989583,12,0,,,,0.0,0,,,False,False
30m,F07_donchian|bars,0.979167,12,0,,,,0.0,0,,,False,False
30m,F07_donchian|bars,0.958333,12,0,,,,0.0,0,,,False,False
30m,F07_donchian|bars,0.916667,12,0,,,,0.0,0,,,False,False
30m,F07_donchian|clock,0.989583,24,0,,,,0.0,0,,,False,False
30m,F07_donchian|clock,0.979167,24,0,,,,0.0,0,,,False,False
30m,F07_donchian|clock,0.958333,24,0,,,,0.0,0,,,False,False
30m,F07_donchian|clock,0.916667,24,0,,,,0.0,0,,,False,False
30m,F08_squeeze_break|bars,0.989583,18,67,-25.199594459425303,0.8333830367088244,-0.5432938471904801,0.18457300275482094,1,-35.19959445942529,-24.353287770397756,False,False
30m,F08_squeeze_break|bars,0.979167,18,104,2.7198522272784067,1.0217906164071648,0.07789035219372692,0.2865013774104683,3,-7.280147772721591,1.285006144177959,False,False
30m,F08_squeeze_break|bars,0.958333,18,178,-25.24272297777856,0.8175676572037903,-0.9515009249027343,0.4903581267217631,2,-35.242722977778556,-27.397621993585034,False,False
