tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
1m,F01_mom24|bars,0.999653,12,69,-49.9744730148836,0.4989793827131144,-3.222027000848243,0.19008264462809918,1,-59.97447301488357,-50.130056130438625,False,False
1m,F01_mom24|bars,0.999306,12,117,-45.31375110379702,0.4613969402255585,-3.3933254977111207,0.32231404958677684,1,-55.31375110379701,-45.380176612434376,False,False
1m,F01_mom24|bars,0.998611,12,220,-45.66711202688533,0.4386206207680633,-4.8914454654098956,0.6060606060606061,0,-55.66711202688532,-45.77832553164847,False,False
1m,F01_mom24|bars,0.997222,12,402,-40.605794849660676,0.43275125376997525,-7.817821499574933,1.1074380165289257,0,-50.605794849660654,-40.709666772604265,False,False
1m,F01_mom24|clock,0.999653,720,30,-97.43672429365,0.6657721465115171,-0.8289082430830124,0.08264462809917356,3,-107.43672429365002,-108.18523590574773,False,False
1m,F01_mom24|clock,0.999306,720,53,-12.965896450491735,0.9435918212538552,-0.16075945812150041,0.14600550964187328,3,-22.96589645049174,-20.705445159813223,False,False
1m,F01_mom24|clock,0.998611,720,86,-21.098140257822358,0.8999689543482824,-0.3525103274644486,0.2369146005509642,2,-31.098140257822365,-27.307043891696754,False,False
1m,F01_mom24|clock,0.997222,720,135,-71.89852146586618,0.7071698660785005,-1.5299611729149614,0.371900826446281,1,-81.89852146586617,-80.74853247396788,False,False
1m,F02_rev24|bars,0.999653,12,69,9.974473014883564,1.15017862018233,0.5443502729466607,0.19008264462809918,3,-0.02552698511642983,10.130056130438618,False,False
1m,F02_rev24|bars,0.999306,12,117,5.313751103796988,1.0956538094364296,0.36545669244804146,0.32231404958677684,4,-4.686248896203004,5.380176612434364,False,False
1m,F02_rev24|bars,0.998611,12,220,5.6671120268853,1.1090357955307169,0.5388511672353992,0.6060606060606061,3,-4.332887973114692,5.778325531648465,False,False
1m,F02_rev24|bars,0.997222,12,402,0.6057948496606524,1.0127849649209462,0.09599350120726023,1.1074380165289257,3,-9.39420515033934,0.7096667726042565,False,False
