fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
engine200,51,MTF MA Ribbon Consensus,40,1.001,0.2,0.0,26,0.76,-74.27,-0.49,0.14652014652014653,0.28888888888888886,False,False,False
engine200,52,MTF MA Ribbon Pullback Reclaim,37,1.676,97.04,1.23,22,1.926,127.66,1.04,0.13553113553113552,0.24444444444444444,False,False,False
engine200,53,MTF SuperTrend 4h + 1h EMA Cross,199,0.813,-31.75,-1.15,62,0.405,-171.63,-2.46,0.7289377289377289,0.6888888888888889,False,False,False
engine200,54,MTF SuperTrend 4h + 1h RSI Dip,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
engine200,55,MTF Donchian 4h Break + 1d Filter,33,0.941,-15.27,-0.14,16,0.98,-9.39,-0.03,0.12087912087912088,0.17777777777777778,False,False,False
engine200,56,MTF Donchian 1h Break + ATR Exp,84,1.156,28.69,0.46,31,0.459,-214.01,-1.76,0.3076923076923077,0.34444444444444444,False,False,False
engine200,57,MTF Dual Thrust Range Exp,378,0.945,-7.5,-0.41,132,0.958,-7.35,-0.17,1.3846153846153846,1.4666666666666666,False,False,False
engine200,58,MTF 4h ADX Trend + 1h EMA Cross,151,0.755,-54.17,-1.33,49,1.229,33.69,0.54,0.5531135531135531,0.5444444444444444,False,False,False
engine200,59,MTF MA Slope Consensus,29,0.605,-131.46,-0.87,20,0.956,-13.95,-0.08,0.10622710622710622,0.2222222222222222,False,False,False
engine200,60,MTF Aroon Trend Onset,10,0.813,-61.67,-0.23,0,0.0,0.0,0.0,0.03663003663003663,0.0,False,False,False
engine200,61,MTF Guppy GMMA Expansion,159,0.872,-34.05,-0.69,53,0.901,-32.37,-0.29,0.5824175824175825,0.5888888888888889,False,False,False
engine200,62,MTF Kaufman ER Trend Pulse,16,0.847,-56.99,-0.22,13,0.617,-129.52,-0.64,0.05860805860805861,0.14444444444444443,False,False,False
engine200,63,MTF MACD Hist Burst + 4h ST,169,0.875,-19.41,-0.66,53,0.535,-129.28,-1.58,0.6190476190476191,0.5888888888888889,False,False,False
engine200,64,MTF Keltner Breakout + 4h Trend,110,0.998,-0.44,-0.01,39,1.461,88.65,0.91,0.40293040293040294,0.43333333333333335,False,False,False
engine200,65,MTF Keltner Break + SL/TP,144,0.979,-3.97,-0.11,71,1.146,27.75,0.48,0.5274725274725275,0.7888888888888889,False,False,False
engine200,66,MTF Vortex Proxy Consensus,221,0.866,-27.56,-0.82,78,0.849,-47.92,-0.57,0.8095238095238095,0.8666666666666667,False,False,False
engine200,67,MTF 3 Consecutive Trend Bars,201,1.135,21.29,0.67,78,1.3,58.67,0.82,0.7362637362637363,0.8666666666666667,False,False,False
engine200,68,MTF Directional Momentum Thrust,108,0.994,-1.41,-0.02,42,1.192,53.42,0.45,0.3956043956043956,0.4666666666666667,False,False,False
engine200,69,MTF Choppiness Gated Trend,72,0.931,-14.81,-0.22,23,2.028,165.72,1.29,0.26373626373626374,0.25555555555555554,False,False,False
engine200,70,MTF CMF Flow + Trend Consensus,149,0.872,-28.91,-0.63,43,1.068,16.96,0.17,0.5457875457875457,0.4777777777777778,False,False,False
engine200,71,MTF RSI<25 Dip in 1d Bull,4,815.25,260.96,1.67,10,0.477,-143.15,-0.71,0.014652014652014652,0.1111111111111111,False,False,False
engine200,72,MTF RSI<20 Deep Dip in 4h Bull,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
